game_id,home,away,total_home_EPA,total_away_EPA,season,home_win
401281942,Miami,Alabama,-26.576098230714138,26.576098230714138,2021,0
401281943,Arkansas,Rice,19.500578079692062,-19.500578079692062,2021,1
401281944,Auburn,Akron,23.10997257765583,-23.10997257765583,2021,1
401281945,Florida,Florida Atlantic,10.558905277371547,-10.558905277371547,2021,1
401281946,Clemson,Georgia,-7.421019270969873,7.421019270969873,2021,0
401281947,Kentucky,UL Monroe,28.825136856826784,-28.825136856826784,2021,1
401281948,UCLA,LSU,8.980076418802525,-8.980076418802525,2021,1
401281949,Mississippi State,Louisiana Tech,13.308527961376024,-13.308527961376024,2021,1
401281950,Missouri,Central Michigan,6.719432357758078,-6.719432357758078,2021,1
401281951,South Carolina,Eastern Illinois,23.554733794136855,-23.554733794136855,2021,1
401281952,Tennessee,Bowling Green,25.18785636482365,-25.18785636482365,2021,1
401282049,New Mexico State,UTEP,-17.458045396161303,17.458045396161303,2021,0
401282050,Jacksonville State,UAB,-28.795457358842764,28.795457358842764,2021,0
401282051,Florida International,Long Island University,-15.317994139052502,15.317994139052502,2021,1
401282052,Charlotte,Duke,-5.884598852070691,5.884598852070691,2021,1
401282053,Texas A&M,Kent State,38.65084096549169,-38.65084096549169,2021,1
401282054,Vanderbilt,East Tennessee State,25.75890846430341,-25.75890846430341,2021,0
401282055,Ole Miss,Louisville,7.758187572307908,-7.758187572307908,2021,1
401282056,Alabama,Mercer,23.591506276182553,-23.591506276182553,2021,1
401282057,Arkansas,Texas,16.512364317770057,-16.512364317770057,2021,1
401282058,Auburn,Alabama State,58.81791293270167,-58.81791293270167,2021,1
401282059,South Florida,Florida,-12.489553268522108,12.489553268522108,2021,0
401282060,Georgia,UAB,31.29354013024988,-31.29354013024988,2021,1
401282061,Kentucky,Missouri,2.66706661302317,-2.66706661302317,2021,1
401282062,LSU,McNeese,21.205000302737073,-21.205000302737073,2021,1
401282063,Ole Miss,Austin Peay,22.492603055307466,-22.492603055307466,2021,1
401282064,Mississippi State,NC State,13.504991011143675,-13.504991011143675,2021,1
401282065,East Carolina,South Carolina,-1.1466343067999778,1.1466343067999778,2021,0
401282066,Tennessee,Pittsburgh,-6.623696553212328,6.623696553212328,2021,0
401282067,Colorado,Texas A&M,-3.0548021739387314,3.0548021739387314,2021,0
401282068,Colorado State,Vanderbilt,-9.818245590869545,9.818245590869545,2021,0
401282069,Arkansas,Georgia Southern,33.08387338495682,-33.08387338495682,2021,1
401282070,Penn State,Auburn,3.2548512652707275,-3.2548512652707275,2021,1
401282071,Florida,Alabama,4.321857776712874,-4.321857776712874,2021,0
401282072,Georgia,South Carolina,17.945544799138425,-17.945544799138425,2021,1
401282073,Kentucky,Chattanooga,3.8033553963661864,-3.8033553963661864,2021,1
401282074,LSU,Central Michigan,15.60255028822151,-15.60255028822151,2021,1
401282075,Ole Miss,Tulane,29.91716790151655,-29.91716790151655,2021,1
401282076,Memphis,Mississippi State,0.7677533170427607,-0.7677533170427607,2021,1
401282077,Missouri,Southeast Missouri State,6.801483456327431,-6.801483456327431,2021,1
401282078,Tennessee,Tennessee Tech,46.06908693984722,-46.06908693984722,2021,1
401282079,Texas A&M,New Mexico,28.32661894346973,-28.32661894346973,2021,1
401282080,Vanderbilt,Stanford,-11.72527959696618,11.72527959696618,2021,0
401282081,Alabama,Southern Miss,35.03947408186382,-35.03947408186382,2021,1
401282082,Arkansas,Texas A&M,6.444728361726064,-6.444728361726064,2021,1
401282083,Auburn,Georgia State,11.822268812758098,-11.822268812758098,2021,1
401282084,Florida,Tennessee,24.59646147334518,-24.59646147334518,2021,1
401282085,Mississippi State,LSU,1.3691585341812522,-1.3691585341812522,2021,0
401282086,Boston College,Missouri,-2.9463689749829434,2.9463689749829434,2021,1
401282087,South Carolina,Kentucky,-0.43356531731767595,0.43356531731767595,2021,0
401282088,Vanderbilt,Georgia,-47.89293872357946,47.89293872357946,2021,0
401282089,Alabama,Ole Miss,13.607971699636114,-13.607971699636114,2021,1
401282090,Georgia,Arkansas,34.02518741576973,-34.02518741576973,2021,1
401282091,Kentucky,Florida,8.658365272001049,-8.658365272001049,2021,1
401282092,LSU,Auburn,-8.02020493864882,8.02020493864882,2021,0
401282093,Missouri,Tennessee,-17.04181932206734,17.04181932206734,2021,0
401282094,South Carolina,Troy,22.763548348837993,-22.763548348837993,2021,1
401282095,Texas A&M,Mississippi State,-5.592699795454751,5.592699795454751,2021,0
401282096,Vanderbilt,UConn,-7.0257871757226775,7.0257871757226775,2021,1
401282097,Auburn,Georgia,-22.286751878679524,22.286751878679524,2021,0
401282098,Florida,Vanderbilt,37.279806151054125,-37.279806151054125,2021,1
401282099,Kentucky,LSU,-24.218394662505816,24.218394662505816,2021,1
401282100,Ole Miss,Arkansas,-2.797766818447364,2.797766818447364,2021,1
401282101,Missouri,North Texas,-5.668788698372769,5.668788698372769,2021,1
401282102,Tennessee,South Carolina,12.790372688273695,-12.790372688273695,2021,1
401282103,Texas A&M,Alabama,-1.4298540350349143,1.4298540350349143,2021,1
401282173,Middle Tennessee,Monmouth,170.95181523246606,-170.95181523246606,2021,1
401282174,Navy,Marshall,-34.43381790355685,34.43381790355685,2021,0
401282175,North Texas,Northwestern State,17.58279321121004,-17.58279321121004,2021,1
401282177,South Alabama,Southern Miss,7.332275836576357,-7.332275836576357,2021,1
401282178,UTEP,Bethune-Cookman,-7.821920312584819,7.821920312584819,2021,1
401282179,Illinois,UTSA,5.216724669455845,-5.216724669455845,2021,0
